,date,fold,y_true,kmeans_state,hmm_state,kmeans_prob,hmm_prob_hard,hmm_prob_soft,kmeans_risk_rank,train_event_rate_x,hmm_risk_rank,train_event_rate_y
0,2009-01-02,1,0,2,2,0.16,0.1424657534246575,0.1424657534246575,3,0.16,3,0.1424657534246575
1,2009-01-05,1,0,2,2,0.16,0.1424657534246575,0.1423494294351225,3,0.16,3,0.1424657534246575
2,2009-01-06,1,0,2,2,0.16,0.1424657534246575,0.1423559848931229,3,0.16,3,0.1424657534246575
3,2009-01-07,1,0,2,2,0.16,0.1424657534246575,0.1423530222876154,3,0.16,3,0.1424657534246575
4,2009-01-08,1,0,2,2,0.16,0.1424657534246575,0.141651569897949,3,0.16,3,0.1424657534246575
5,2009-01-09,1,0,2,3,0.16,0.1301989150090416,0.1309144922065466,3,0.16,2,0.1301989150090416
6,2009-01-12,1,0,2,3,0.16,0.1301989150090416,0.1302050222277383,3,0.16,2,0.1301989150090416
7,2009-01-13,1,0,2,3,0.16,0.1301989150090416,0.1301989579264522,3,0.16,2,0.1301989150090416
8,2009-01-14,1,0,2,3,0.16,0.1301989150090416,0.130198936317493,3,0.16,2,0.1301989150090416
9,2009-01-15,1,0,3,3,0.1332082551594746,0.1301989150090416,0.1301989150200259,2,0.1332082551594746,2,0.1301989150090416
10,2009-01-16,1,0,3,3,0.1332082551594746,0.1301989150090416,0.1301989158555223,2,0.1332082551594746,2,0.1301989150090416
11,2009-01-19,1,0,2,3,0.16,0.1301989150090416,0.1301989290545099,3,0.16,2,0.1301989150090416
12,2009-01-20,1,0,3,3,0.1332082551594746,0.1301989150090416,0.1301989152039012,2,0.1332082551594746,2,0.1301989150090416
13,2009-01-21,1,0,3,3,0.1332082551594746,0.1301989150090416,0.1301989150149715,2,0.1332082551594746,2,0.1301989150090416
14,2009-01-22,1,0,3,3,0.1332082551594746,0.1301989150090416,0.1301989155884615,2,0.1332082551594746,2,0.1301989150090416
15,2009-01-23,1,0,3,3,0.1332082551594746,0.1301989150090416,0.1302007308302293,2,0.1332082551594746,2,0.1301989150090416
16,2009-01-28,1,0,2,2,0.16,0.1424657534246575,0.1424628248939851,3,0.16,3,0.1424657534246575
17,2009-01-29,1,0,2,2,0.16,0.1424657534246575,0.1424657532323423,3,0.16,3,0.1424657534246575
18,2009-01-30,1,0,2,2,0.16,0.1424657534246575,0.1424657524817019,3,0.16,3,0.1424657534246575
19,2009-02-02,1,0,2,2,0.16,0.1424657534246575,0.1424657506852445,3,0.16,3,0.1424657534246575
20,2009-02-03,1,0,2,2,0.16,0.1424657534246575,0.1424657470795846,3,0.16,3,0.1424657534246575
21,2009-02-04,1,0,2,2,0.16,0.1424657534246575,0.1424657530214002,3,0.16,3,0.1424657534246575
22,2009-02-05,1,0,2,2,0.16,0.1424657534246575,0.1424657376687664,3,0.16,3,0.1424657534246575
23,2009-02-06,1,0,2,2,0.16,0.1424657534246575,0.1424657528519825,3,0.16,3,0.1424657534246575
24,2009-02-09,1,0,2,2,0.16,0.1424657534246575,0.1424657396388009,3,0.16,3,0.1424657534246575
25,2009-02-10,1,0,2,2,0.16,0.1424657534246575,0.1424657528280901,3,0.16,3,0.1424657534246575
26,2009-02-11,1,0,2,2,0.16,0.1424657534246575,0.1424657513263881,3,0.16,3,0.1424657534246575
27,2009-02-12,1,0,2,2,0.16,0.1424657534246575,0.1424657389994049,3,0.16,3,0.1424657534246575
28,2009-02-13,1,0,2,2,0.16,0.1424657534246575,0.1424654302397819,3,0.16,3,0.1424657534246575
29,2009-02-16,1,0,2,2,0.16,0.1424657534246575,0.1423064580187988,3,0.16,3,0.1424657534246575
30,2009-02-17,1,0,2,2,0.16,0.1424657534246575,0.1364199124123845,3,0.16,3,0.1424657534246575
31,2009-02-18,1,0,3,3,0.1332082551594746,0.1301989150090416,0.1304435599639306,2,0.1332082551594746,2,0.1301989150090416
32,2009-02-19,1,0,3,3,0.1332082551594746,0.1301989150090416,0.130205839935109,2,0.1332082551594746,2,0.1301989150090416
33,2009-02-20,1,0,3,3,0.1332082551594746,0.1301989150090416,0.1301989210796612,2,0.1332082551594746,2,0.1301989150090416
34,2009-02-23,1,0,2,3,0.16,0.1301989150090416,0.1301991805921973,3,0.16,2,0.1301989150090416
35,2009-02-24,1,0,3,3,0.1332082551594746,0.1301989150090416,0.1301989426513024,2,0.1332082551594746,2,0.1301989150090416
36,2009-02-25,1,0,3,3,0.1332082551594746,0.1301989150090416,0.1301989288912757,2,0.1332082551594746,2,0.1301989150090416
37,2009-02-26,1,0,3,3,0.1332082551594746,0.1301989150090416,0.1301989159253809,2,0.1332082551594746,2,0.1301989150090416
38,2009-02-27,1,0,3,3,0.1332082551594746,0.1301989150090416,0.13019891712797,2,0.1332082551594746,2,0.1301989150090416
39,2009-03-02,1,0,3,3,0.1332082551594746,0.1301989150090416,0.1301989150106335,2,0.1332082551594746,2,0.1301989150090416
